530	0	0	0	Load	Scalar	1	27	8-bit	1.0000000	0.00000	Load Rear	0	0	255	0	255	Load	Load for the rear cylinder (8-bit resolution)
520	0	0	0	RPM	Scalar	2	11	RPM	1.0000000	0.00000	Engine Speed	0	0	65535	0	65535	RPM	Engine Speed
519	0	0	0	Seconds	Scalar	2	9	Seconds	1.0000000	0.00000	Seconds	0	0	65535	0	65535	Seconds	Number of seconds since engine startup
529	0	0	0	TPD	Scalar	2	25	Degrees	0.1000000	0.00000	Throttle Position Degrees	0.0	0	6553.5	0	65535	TPD	Throttle position, degree
531	0	0	1	TPP	Scalar	1	27	8-bit	0.392157	0.00000	Throttle Percentage	0.0	0	100.000035	0	255	TPP	Throttle postion, percentage
580	0	0	0	TPS 10Bit	Scalar	2	90	10-bit ADC	1.0000000	0.00000	TPS 10Bit	0	0	1023	0	1023	TPS 10Bit	Throttle position sensor unscaled input (10-bit resolution)
581	0	0	0	TPS Voltg.	Scalar	2	90	Volt	0.004887585	0.00000	TPS Voltage	0.00	0	4.999999455	0	1023	TPS Voltg.	Throttle position sensor voltage
556	0	0	0	BAS Voltg.	Scalar	2	65	Volt	0.004887585	0.00000	BAS Voltage	0.0	0	4.999999455	0	1023	BAS Voltg.	Bank angle sensor input  voltage
532	0	0	0	Batt. Voltg.	Scalar	2	28	Volts	0.0100000	0.00000	Battery Voltage	0.00	0	655.35	0	65535	Batt. Voltg.	Battery voltage
533	0	0	0	CLT	Scalar	2	30	Degree C	0.1000000	-40.00000	Engine Temperature	0	-40	368	0	4080	CLT	Engine temperature, centigrade
534	0	0	0	CLT_F	Scalar	2	30	Fahrenheit	0.1800000	-40.00000	Engine Temperature Fahrenheit	0	-40	694.4	0	4080	CLT_F	Engine temperature, Fahrenheit
535	0	0	0	MAT	Scalar	2	32	Degree C	0.1000000	-40.00000	Air Temperature	0	-40	368	0	4080	MAT	Air temperature, centigrade
536	0	0	0	MAT_F	Scalar	2	32	Fahrenheit	0.1800000	-40.00000	Air Temperature Fahrenheit	0	-40	694.4	0	4080	MAT_F	Air temperature, Fahrenheit
538	0	0	0	O2	Scalar	2	34	Volt	0.004887585	0.00000	O2 Voltage Rear	0.00	0	1.246334175	0	255	O2	Exhaust O2 sensor voltage for the rear cylinder
540	0	0	0	Accel Corr.	Scalar	2	42	Percent	0.1000000	0.00000	Acceleration Correction	0.0	0	6553.5	0	65535	Accel Corr.	Acceleration condition fuel enrichment
545	0	0	0	AFV	Scalar	2	52	Percent	0.1000000	0.00000	AFV Rear	0.0	0	6553.5	0	65535	AFV	Adaptive fuel value for the rear cylinder
541	0	0	0	Decel Corr.	Scalar	2	44	Percent	0.1000000	0.00000	Deceleration Correction	0.0	0	6553.5	0	65535	Decel Corr.	Deceleration condition fuel adjustment
546	0	0	0	EGO Corr.	Scalar	2	54	Percent	0.1000000	0.00000	EGO Correction	0.0	0	6553.5	0	65535	EGO Corr.	Exhaust gas O2 fuel adjustment for the rear cylinder
